1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,Day,Group,Day.1,Total
0,0,0,0,0,0,0,0,0,0,0,0,119,65,290,767,0,0,0,0,849,364,471,480,103,191,151,140,981,7,44,0,0,968,496,0,865,334,8,29,8,10,4,217,0,0,0,0,0,8,500,316,1111,1086,1057,1057,1075,993,980,1011,633,232,50,39,7,14,0,42,40,0,12,38,108,258,0,0,0,0,140,22,26,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,45,School,Thursday,18835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,170,70,27,257,901,8,0,0,389,585,311,130,20,315,241,164,214,1057,167,240,205,490,99,0,7,9,0,29,224,0,0,39,0,6,0,1120,815,704,877,807,792,1181,66,0,345,392,104,7,63,50,27,19,74,245,185,139,139,101,15,71,64,5,0,0,0,0,9,8,0,0,0,0,0,46,School,Friday,14809
0,0,0,0,0,0,0,0,0,0,19,309,127,126,104,92,88,706,742,271,1079,409,425,842,335,591,530,591,694,627,422,444,535,424,308,557,547,1346,17,618,738,605,886,318,599,687,500,603,192,278,507,736,660,446,586,666,521,245,341,1000,145,47,151,555,431,508,6,4,275,117,22,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,School.W,Saturday,27447
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,259,280,46,12,874,383,1013,530,530,548,213,362,649,645,557,615,657,537,382,767,575,855,42,18,460,46,34,0,0,0,0,0,44,226,8,0,0,0,164,0,174,253,42,18,22,16,33,35,0,15,0,6,0,8,39,8,0,0,0,12,13,6,0,0,63,83,11,0,0,0,0,7,0,0,0,0,0,0,0,48,School.W,Sunday,13216
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,27,209,160,609,10,13,371,7,10,0,495,219,8,34,7,398,85,205,65,394,381,480,11,0,0,5,0,670,478,15,4,0,0,0,449,416,23,5,62,0,41,0,0,29,54,0,0,0,379,25,0,70,15,152,0,7,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,School,Monday,7160
0,0,0,0,0,0,0,0,0,16,181,106,95,278,490,388,0,0,772,54,0,0,0,181,4,86,11,0,72,193,228,364,48,124,59,73,20,0,51,579,449,0,0,0,573,1088,427,1387,1255,691,290,474,478,197,70,88,66,33,274,296,247,68,24,0,17,0,0,39,6,0,0,0,6,0,270,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,School,Tuesday,13414
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,16,104,104,0,0,0,104,0,0,0,38,0,0,0,75,44,43,23,18,104,106,49,0,0,65,53,47,8,0,24,23,0,101,105,60,50,150,153,134,0,45,0,0,21,0,5,20,0,0,32,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,School,Friday,1972
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,29,0,0,0,15,0,0,0,60,10,0,118,147,121,20,134,106,56,147,126,41,140,0,58,0,39,0,0,20,15,0,69,202,77,19,0,5,20,30,0,0,8,0,0,0,0,16,0,45,6,8,140,0,0,0,0,12,21,0,0,0,0,0,0,0,0,0,0,0,0,54,School.W,Saturday,2098
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,38,0,37,4,10,0,7,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,10,0,0,4,0,16,0,23,0,12,0,0,0,0,0,12,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,School.W,Sunday,284
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,59,0,113,0,4,25,77,16,0,0,24,103,0,0,0,65,0,0,7,7,0,12,0,6,7,0,7,0,23,0,0,19,0,6,0,7,0,20,0,0,0,0,0,5,0,0,11,15,21,0,0,0,0,0,0,0,0,62,0,282,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,School,Monday,1205
